state,rating,prior1,prior2
california,solid-d,0.4915,0.1603
connecticut,solid-d,0.4915,0.1603
delaware,solid-d,0.4915,0.1603
hawaii,solid-d,0.4915,0.1603
washington-dc,solid-d,0.4915,0.1603
illinois,solid-d,0.4915,0.1603
maine,solid-d,0.4915,0.1603
maryland,solid-d,0.4915,0.1603
massachusetts,solid-d,0.4915,0.1603
new-mexico,solid-d,0.4915,0.1603
new-jersey,solid-d,0.4915,0.1603
new-york,solid-d,0.4915,0.1603
oregon,solid-d,0.4915,0.1603
rhode-island,solid-d,0.4915,0.1603
vermont,solid-d,0.4915,0.1603
washington ,solid-d,0.4915,0.1603
minnesota,likely-d,0.4862,0.0632
colorado,lean-d,0.4925,0.0497
florida,lean-d,0.4925,0.0497
michigan,lean-d,0.4925,0.0497
nevada,lean-d,0.4925,0.0497
pennsylvania,lean-d,0.4925,0.0497
virginia,lean-d,0.4925,0.0497
wisconsin,lean-d,0.4925,0.0497
iowa,tossup,0.4927,0.0233
new-hampshire,tossup,0.4927,0.0233
north-carolina,tossup,0.4927,0.0233
ohio,tossup,0.4927,0.0233
arizona,lean-r,0.4931,0.0599
georgia,lean-r,0.4931,0.0599
indiana,likely-r,0.4933,0.0614
missouri,likely-r,0.4933,0.0614
alabama,solid-r,0.4906,0.1246
alaska,solid-r,0.4906,0.1246
arkansas,solid-r,0.4906,0.1246
idaho,solid-r,0.4906,0.1246
kansas,solid-r,0.4906,0.1246
kentucky,solid-r,0.4906,0.1246
louisiana,solid-r,0.4906,0.1246
mississippi,solid-r,0.4906,0.1246
montana,solid-r,0.4906,0.1246
nebraska,solid-r,0.4906,0.1246
north-dakota,solid-r,0.4906,0.1246
oklahoma,solid-r,0.4906,0.1246
south-carolina,solid-r,0.4906,0.1246
south-dakota,solid-r,0.4906,0.1246
tennessee,solid-r,0.4906,0.1246
texas,solid-r,0.4906,0.1246
utah,solid-r,0.4906,0.1246
west-virginia,solid-r,0.4906,0.1246
wyoming,solid-r,0.4906,0.1246
