state	pollster_slug	cook_rating	dem_name	dem_label	gop_name	gop_label
AK		R-Likely	Ray Homer Metcalfe	Metcalfe	Lisa Murkowski	Murkowski
AL		R-Solid	Ronald Steven Crumpton	Crumpton	Richard C. Shelby	Shelby
AR		R-Solid	Conner Eldridge	Eldridge	John Nichols Boozman	Boozman
AZ	2016-arizona-senate-mccain-vs-kirkpatrick	R-Lean	Ann Leila Kirkpatrick	Kirkpatrick	John Sidney McCain	McCain
CA		D-Solid				
CO	2016-colorado-senate-glenn-vs-bennet	D-Likely	Michael F. Bennet	Bennet	Darryl Glenn	Glenn
CT	2016-connecticut-senate-carter-vs-blumenthal	D-Solid	Richard Blumenthal	Blumenthal	Dan Carter	Carter
FL	2016-florida-senate-rubio-vs-murphy	Toss Up	Patrick Erin Murphy	Murphy	Marco Rubio	Rubio
GA	2016-georgia-senate-isakson-vs-barksdale	R-Likely	James Freeman Barksdale	Barksdale	John Hardy Isakson	Isakson
HI		D-Solid	Brian Emanuel Schatz	Schatz	John Stanley Carroll	Carroll
IA	2016-iowa-senate-grassley-vs-judge	R-Likely	Patty Jean Judge	Judge	Charles E. Grassley	Grassley
ID		R-Solid	Jerry Sturgill	Sturgill	Michael D. Crapo	Crapo
IL	2016-illinois-senate-kirk-vs-duckworth	Toss Up	Tammy Duckworth	Duckworth	Mark Steven Kirk	Kirk
IN	2016-indiana-senate-young-vs-bayh	Toss Up	Evan Bayh	Bayh	Todd Christopher Young	Young
KS	2016-kansas-senate-morgan-vs-wiesner	R-Solid	Patrick Wiesner	Wiesner	Jerry Moran	Moran
KY		R-Solid	Jim P. Gray	Gray	Rand Paul	Paul
LA		R-Solid				
MD	2016-maryland-senate-szeliga-vs-van-hollen	D-Solid	Christopher Van Hollen, Jr.	Van Hollen	Kathy Szeliga	Szeliga
MO	2016-missouri-senate-blunt-vs-kander	R-Lean	Jason Kander	Kander	Roy Blunt	Blunt
NC	2016-north-carolina-senate-burr-vs-ross	Toss Up	Deborah K. Ross	Ross	Richard M. Burr	Burr
ND		R-Solid			John Hoeven	Hoeven
NH	2016-new-hampshire-ayotte-vs-hassan	Toss Up	Margaret Wood Hassan	Hassan	Kelly A. Ayotte	Ayotte
NV	2016-nevada-senate-heck-vs-cortez-mastro	Toss Up	Catherine Marie Cortez-Masto	Cortez	Joseph John Heck	Heck
NY	2016-new-york-senate-long-vs-schumer	D-Solid	Charles E. Schumer	Schumer	Wendy Long	Long
OH	2016-ohio-senate-portman-vs-strickland	Toss Up	Ted Strickland	Strickland	Robert Jones Portman	Portman
OK		R-Solid	Mike Workman	Workman	James Paul Lankford	Lankford
OR		D-Solid	Ronald Lee Wyden	Wyden	Mark Allen Callahan	Callahan
PA	2016-pennsylvania-senate-toomey-vs-mcginty	Toss Up	Kathleen Alana McGinty	McGinty	Patrick Joseph Toomey	Toomey
SC	2016-south-carolina-senate-scott-vs-dixon	R-Solid	Thomas Alan Dixon	Dixon	Timothy E. Scott	Scott
SD		R-Solid	Jay Henley Williams	Williams	John R. Thune	Thune
UT	2016-utah-senate-lee-vs-snow	R-Solid	Misty K. Snow	Snow	Mike Lee	Lee
VT	2016-vermont-senate-milne-vs-leahy	D-Solid	Patrick J. Leahy	Leahy	Scott Milne	Milne
WA	2016-washington-senate-vance-vs-murray	D-Solid	Patricia L. Murray	Murray	Chris Vance	Vance
WI	2016-wisconsin-senate-johnson-vs-feingold	Toss Up	Russell Dana Feingold	Feingold	Ronald Harold Johnson	Johnson
