state	end_date	dem_lead
AL	2016-09-01	-21
AK	2016-09-01	-8
AK	2016-08-29	-10
AZ	2016-09-08	-1
AZ	2016-09-01	1
AZ	2016-08-28	-3
AZ	2016-08-27	1
AZ	2016-08-23	-5
AZ	2016-08-05	-2
AZ	2016-06-23	-4
AZ	2016-06-20	5
AZ	2016-06-20	-5
AZ	2016-05-15	-2
AZ	2016-04-11	7
AZ	2016-03-11	0
AZ	2015-12-09	-2
AR	2016-09-01	-13
AR	2016-06-21	-11
CA	2016-09-11	25
CA	2016-09-08	25
CA	2016-09-01	24
CA	2016-07-19	16
CA	2016-07-02	30
CA	2016-06-10	26
CA	2016-06-03	15
CA	2016-05-31	24
CA	2016-05-31	19
CA	2016-05-31	21
CA	2016-05-22	14
CA	2016-05-22	10
CA	2016-05-16	12
CA	2016-04-30	22
CA	2016-04-04	28
CA	2016-04-03	34
CA	2016-03-23	27
CO	2016-09-01	2
CO	2016-08-31	5
CO	2016-08-16	10
CO	2016-08-10	14
CO	2016-07-12	10
CO	2016-07-12	13
CO	2016-07-11	8
CO	2016-07-09	7
CO	2016-07-08	2
CO	2016-06-24	1
CO	2015-11-15	-11
CT	2016-09-01	12
CT	2016-06-05	7
CT	2016-04-11	8
CT	2015-10-11	7
DE	2016-09-01	14
DE	2016-07-24	10
FL	2016-09-14	0
FL	2016-09-12	-3
FL	2016-09-09	2
FL	2016-09-07	0
FL	2016-09-06	-1
FL	2016-09-01	2
FL	2016-08-24	5
FL	2016-08-22	-1
FL	2016-08-18	14
FL	2016-08-15	9
FL	2016-08-12	5
FL	2016-08-10	1
FL	2016-08-10	5
FL	2016-08-07	1
FL	2016-08-03	6
FL	2016-07-11	7
FL	2016-07-11	-3
FL	2016-07-10	-5
FL	2016-07-10	5
FL	2016-06-28	-4
FL	2016-06-28	-2
FL	2016-06-27	4
FL	2016-06-24	3
FL	2016-06-20	13
FL	2016-06-19	8
FL	2016-06-05	-1
FL	2016-06-02	3
FL	2016-05-19	1
FL	2016-05-18	4
FL	2016-05-08	1
FL	2016-04-27	13
FL	2016-03-10	8
FL	2016-03-06	-1
FL	2016-03-06	7
FL	2016-02-25	-2
FL	2016-02-06	7
FL	2016-01-18	-3
FL	2015-12-03	8
FL	2015-11-16	-8
FL	2015-11-01	-4
FL	2015-10-05	5
FL	2015-09-20	-1
FL	2015-09-20	1
FL	2015-09-13	-6
FL	2015-08-18	-2
GA	2016-09-18	-3
GA	2016-09-14	-4
GA	2016-09-08	-3
GA	2016-09-01	0
GA	2016-08-17	0
GA	2016-08-12	-4
GA	2016-08-08	-1
GA	2016-08-04	4
GA	2016-08-01	0
GA	2016-07-31	-4
GA	2016-07-24	-1
GA	2016-05-30	-7
GA	2016-05-15	-3
GA	2016-05-12	-4
GA	2016-05-05	-1
GA	2016-04-03	13
GA	2016-02-23	-9
GA	2015-10-26	-9
HI	2016-09-01	30
ID	2016-09-01	-19
ID	2016-07-16	-21
IL	2016-09-16	14
IL	2016-09-01	15
IL	2016-08-04	19
IL	2016-07-16	17
IL	2016-03-10	25
IL	2015-07-21	18
IN	2016-09-01	-15
IN	2016-08-16	-11
IN	2016-04-28	-7
IN	2016-04-21	-8
IA	2016-09-14	-8
IA	2016-09-08	-1
IA	2016-09-01	-4
IA	2016-08-31	2
IA	2016-08-19	0
IA	2016-08-16	3
IA	2016-08-10	-1
IA	2016-08-07	4
IA	2016-07-15	-1
IA	2016-07-11	-2
IA	2016-07-10	3
IA	2016-07-08	2
IA	2016-06-28	14
IA	2016-06-23	2
IA	2016-06-13	3
IA	2016-01-07	8
IA	2015-12-13	2
IA	2015-11-16	1
IA	2015-11-01	0
IA	2015-09-30	-7
IA	2015-09-02	-5
IA	2015-08-09	3
KS	2016-09-11	-12
KS	2016-09-01	-12
KS	2016-08-07	-5
KS	2016-07-21	-17
KS	2016-07-11	-11
KS	2016-06-06	7
KS	2016-02-26	-10
KY	2016-09-01	-23
KY	2015-06-21	3
LA	2016-09-01	-6
LA	2016-09-01	-15
LA	2016-05-06	-16
LA	2015-09-23	-8
ME	2016-09-10	3
ME	2016-09-01	8
ME	2016-08-20	10
ME	2016-08-08	10
ME	2016-06-21	7
MD	2016-09-01	30
MD	2016-08-30	29
MD	2016-04-17	33
MD	2016-04-09	36
MD	2016-04-03	35
MA	2016-09-10	26
MA	2016-09-01	23
MA	2016-05-05	24
MA	2016-04-10	36
MI	2016-09-13	4
MI	2016-09-01	2
MI	2016-08-24	7
MI	2016-08-04	10
MI	2016-08-01	9
MI	2016-07-15	3
MI	2016-07-15	5
MI	2016-07-11	6
MI	2016-07-08	7
MI	2016-06-20	11
MI	2016-05-26	4
MI	2016-03-24	11
MI	2016-03-22	10
MI	2016-03-03	16
MI	2016-02-27	5
MI	2015-10-31	8
MI	2015-09-18	0
MI	2015-09-14	3
MI	2015-08-22	2
MI	2015-08-10	-1
MI	2015-06-28	10
MN	2016-09-14	6
MN	2016-09-01	9
MN	2016-01-20	5
MN	2015-11-02	-3
MN	2015-08-02	5
MS	2016-09-01	-2
MS	2016-03-30	-3
MO	2016-09-01	-10
MO	2016-08-27	-6
MO	2016-08-22	-1
MO	2016-08-09	-3
MO	2016-07-24	1
MO	2016-07-24	-10
MO	2016-07-12	-10
MO	2016-03-24	2
MO	2016-03-10	-5
MO	2015-08-09	-9
MT	2016-09-01	-13
NE	2016-09-01	-11
NV	2016-09-13	-2
NV	2016-09-08	1
NV	2016-09-07	3
NV	2016-09-01	5
NV	2016-08-17	2
NV	2016-08-05	2
NV	2016-07-31	1
NV	2016-07-24	-5
NV	2016-07-10	4
NV	2016-06-20	-2
NV	2016-05-25	-5
NV	2015-11-16	-3
NH	2016-09-08	1
NH	2016-09-01	9
NH	2016-08-31	5
NH	2016-08-28	6
NH	2016-08-28	9
NH	2016-08-12	9
NH	2016-08-08	10
NH	2016-08-01	15
NH	2016-07-21	-9
NH	2016-07-18	2
NH	2016-06-28	5
NH	2016-06-23	4
NH	2016-06-20	1
NH	2016-05-28	0
NH	2016-05-15	2
NH	2016-04-17	19
NH	2016-04-16	5
NH	2016-02-28	8
NH	2016-02-07	5
NH	2016-01-18	9
NH	2016-01-07	1
NH	2016-01-06	14
NH	2015-12-02	6
NH	2015-11-17	7
NH	2015-11-16	7
NH	2015-10-18	6
NH	2015-09-30	3
NH	2015-09-23	8
NH	2015-09-02	1
NH	2015-08-24	2
NH	2015-07-30	10
NJ	2016-09-01	15
NJ	2016-06-26	12
NJ	2016-06-03	15
NJ	2016-05-27	4
NJ	2016-05-22	11
NJ	2016-05-16	7
NJ	2016-04-08	14
NM	2016-09-01	14
NM	2016-08-21	9
NM	2016-05-15	8
NY	2016-09-01	22
NY	2016-08-10	30
NY	2016-08-08	17
NY	2016-07-17	12
NY	2016-06-28	23
NY	2016-05-26	21
NY	2016-04-27	26
NY	2016-04-17	19
NY	2016-04-10	20
NY	2016-04-10	29
NY	2016-04-10	16
NY	2016-04-07	18
NY	2016-04-07	16
NY	2016-03-29	20
NY	2016-03-16	19
NY	2016-03-03	23
NY	2016-02-03	25
NC	2016-09-12	0
NC	2016-09-07	-3
NC	2016-09-07	4
NC	2016-09-02	4
NC	2016-09-01	0
NC	2016-08-27	1
NC	2016-08-23	2
NC	2016-08-23	1
NC	2016-08-17	1
NC	2016-08-10	9
NC	2016-08-07	2
NC	2016-08-02	-4
NC	2016-07-11	6
NC	2016-06-24	2
NC	2016-06-21	0
NC	2016-06-20	10
NC	2016-05-23	-3
NC	2016-05-22	-2
NC	2016-04-25	12
NC	2016-04-24	0
NC	2016-04-15	6
NC	2016-03-20	2
NC	2016-03-10	-7
NC	2016-02-19	6
NC	2016-02-16	-1
NC	2016-02-16	-2
NC	2016-01-19	-2
NC	2015-12-07	-4
NC	2015-11-02	10
NC	2015-10-25	-6
NC	2015-09-30	4
