state	date	dem_xibar	dem_low	dem_high	gop_xibar	gop_low	gop_high	diff_xibar	diff_low	diff_high	undecided_xibar	dem_win_prob	dem_win_prob_with_undecided
AK	2016-08-29											0.1	0.1
AK	2016-08-30											0.1	0.1
AK	2016-08-31											0.1	0.1
AK	2016-09-01											0.1	0.1
AK	2016-09-02											0.1	0.1
AK	2016-09-03											0.1	0.1
AK	2016-09-04											0.1	0.1
AK	2016-09-05											0.1	0.1
AK	2016-09-06											0.1	0.1
AK	2016-09-07											0.1	0.1
AK	2016-09-08											0.1	0.1
AK	2016-09-09											0.1	0.1
AK	2016-09-10											0.1	0.1
AK	2016-09-11											0.1	0.1
AK	2016-09-12											0.1	0.1
AK	2016-09-13											0.1	0.1
AK	2016-09-14											0.1	0.1
AK	2016-09-15											0.1	0.1
AK	2016-09-16											0.1	0.1
AK	2016-09-17											0.1	0.1
AK	2016-09-18											0.1	0.1
AK	2016-09-19											0.1	0.1
AK	2016-09-20											0.1	0.1
AK	2016-09-21											0.1	0.1
AK	2016-09-22											0.1	0.1
AK	2016-09-23											0.1	0.1
AK	2016-09-24											0.1	0.1
AK	2016-09-25											0.1	0.1
AK	2016-09-26											0.1	0.1
AK	2016-09-27											0.1	0.1
AK	2016-09-28											0.1	0.1
AK	2016-09-29											0.1	0.1
AK	2016-09-30											0.1	0.1
AK	2016-10-01											0.1	0.1
AK	2016-10-02											0.1	0.1
AK	2016-10-03											0.1	0.1
AK	2016-10-04											0.1	0.1
AK	2016-10-05											0.1	0.1
AK	2016-10-06											0.1	0.1
AK	2016-10-07											0.1	0.1
AK	2016-10-08											0.1	0.1
AK	2016-10-09											0.1	0.1
AK	2016-10-10											0.1	0.1
AK	2016-10-11											0.1	0.1
AK	2016-10-12											0.1	0.1
AK	2016-10-13											0.1	0.1
AK	2016-10-14											0.1	0.1
AK	2016-10-15											0.1	0.1
AK	2016-10-16											0.1	0.1
AK	2016-10-17											0.1	0.1
AK	2016-10-18											0.1	0.1
AK	2016-10-19											0.1	0.1
AK	2016-10-20											0.1	0.1
AK	2016-10-21											0.1	0.1
AK	2016-10-22											0.1	0.1
AK	2016-10-23											0.1	0.1
AK	2016-10-24											0.1	0.1
AK	2016-10-25											0.1	0.1
AK	2016-10-26											0.1	0.1
AK	2016-10-27											0.1	0.1
AK	2016-10-28											0.1	0.1
AK	2016-10-29											0.1	0.1
AK	2016-10-30											0.1	0.1
AK	2016-10-31											0.1	0.1
AK	2016-11-01											0.1	0.1
AK	2016-11-02											0.1	0.1
AK	2016-11-03											0.1	0.1
AK	2016-11-04											0.1	0.1
AK	2016-11-05											0.1	0.1
AK	2016-11-06											0.1	0.1
AK	2016-11-07											0.1	0.1
AK	2016-11-08											0.1	0.1
AL	2016-08-29											0.01	0.01
AL	2016-08-30											0.01	0.01
AL	2016-08-31											0.01	0.01
AL	2016-09-01											0.01	0.01
AL	2016-09-02											0.01	0.01
AL	2016-09-03											0.01	0.01
AL	2016-09-04											0.01	0.01
AL	2016-09-05											0.01	0.01
AL	2016-09-06											0.01	0.01
AL	2016-09-07											0.01	0.01
AL	2016-09-08											0.01	0.01
AL	2016-09-09											0.01	0.01
AL	2016-09-10											0.01	0.01
