state	end_date	dem_lead
AZ	2016-08-28	0
AZ	2016-08-23	-13
AZ	2016-06-23	-2
AZ	2016-06-20	-2
AZ	2016-06-19	-9
AZ	2016-06-09	2
AZ	2016-05-15	-6
AZ	2016-04-11	0
AZ	2016-03-11	-1
AZ	2016-01-17	-1
AZ	2015-12-09	-15
AZ	2015-11-05	-6
AZ	2015-08-16	-13
AZ	2015-05-03	-6
CO	2016-08-16	16
CO	2016-08-10	15
CO	2016-07-12	15
CO	2016-07-12	13
CO	2016-07-11	15
CO	2016-07-09	6
CT	2016-06-05	30
FL	2016-08-24	-3
FL	2016-08-24	-1
FL	2016-08-18	-8
FL	2016-08-15	-5
FL	2016-08-10	-2
FL	2016-08-10	-6
FL	2016-08-07	-3
FL	2016-08-03	-13
FL	2016-07-11	-3
FL	2016-07-11	-13
FL	2016-07-10	-7
FL	2016-06-27	0
FL	2016-06-19	-7
FL	2016-06-16	1
FL	2016-06-05	1
FL	2016-04-27	-8
FL	2015-09-13	-6
FL	2015-03-22	-7
FL	2015-03-05	-12
FL	2014-09-07	-5
GA	2016-08-04	-6
GA	2016-07-31	-9
GA	2016-05-30	-12
IA	2016-08-19	-7
IA	2016-08-16	-9
IA	2016-08-10	-10
IA	2016-08-07	-10
IA	2016-07-15	-8
IA	2016-07-11	-10
IA	2016-07-10	-10
IA	2016-06-28	-1
IA	2016-06-23	-7
IA	2016-06-13	-7
IL	2016-08-04	7
IL	2016-03-31	3
IL	2015-07-21	6
IL	2015-06-23	17
IN	2016-08-16	7
IN	2016-07-14	21
KS	2016-08-07	-20
KS	2016-07-11	-19
MD	2016-08-30	29
MD	2016-04-17	28
MO	2016-08-27	-4
MO	2016-08-22	-5
MO	2016-07-24	-4
MO	2016-07-12	-3
MO	2016-03-26	-7
MO	2016-03-24	-14
MO	2015-08-09	-5
NC	2016-09-02	1
NC	2016-08-27	-3
NC	2016-08-23	-2
NC	2016-08-23	-5
NC	2016-08-10	2
NC	2016-08-07	-4
NC	2016-07-11	-7
NC	2016-06-21	-3
NC	2016-06-20	2
NC	2016-05-22	-3
NC	2016-04-25	-2
NC	2016-04-24	-4
NC	2016-04-15	-4
NC	2016-03-20	-5
NC	2016-03-10	-7
NC	2016-02-16	-8
NC	2016-02-16	-6
NC	2016-01-19	-10
NC	2015-12-07	-11
NC	2015-10-25	-4
NH	2016-08-28	2
NH	2016-08-28	2
NH	2016-08-12	1
NH	2016-08-08	3
NH	2016-08-01	10
NH	2016-07-21	-8
NH	2016-07-18	3
NH	2016-06-28	-9
NH	2016-06-23	2
NH	2016-06-20	1
NH	2016-06-16	4
NH	2016-06-09	3
NH	2016-05-28	-1
NH	2016-05-26	2
NH	2016-05-15	2
NH	2016-04-17	-1
NH	2016-04-16	-2
NH	2016-02-28	-4
NH	2016-01-18	-7
NH	2016-01-06	-2
NH	2015-12-02	0
NH	2015-10-18	1
NH	2015-10-06	-10
NH	2015-10-02	-2
NH	2015-09-29	-9
NH	2015-08-24	-1
NH	2015-07-21	-8
NH	2015-07-20	-6
NH	2015-07-07	1
NH	2015-05-22	-2
NH	2015-04-30	-5
NH	2015-04-22	-7
NH	2015-04-13	1
NH	2015-03-19	-2
NH	2015-02-18	-2
NH	2015-02-10	4
NV	2016-08-17	0
NV	2016-08-05	-3
NV	2016-07-31	-1
NV	2016-07-24	-9
NV	2016-07-10	-2
NV	2016-06-20	-5
NV	2016-05-25	2
NY	2016-08-10	39
NY	2016-07-17	32
NY	2016-06-28	43
NY	2016-05-26	42
NY	2016-04-27	40
NY	2016-04-10	32
NY	2016-03-29	39
OH	2016-08-27	-9
OH	2016-08-21	-8
OH	2016-08-19	-7
OH	2016-08-07	-5
OH	2016-08-07	-9
OH	2016-07-24	-5
OH	2016-07-20	-4
OH	2016-07-15	-1
OH	2016-07-11	-7
OH	2016-07-10	0
OH	2016-06-23	-1
OH	2016-06-20	3
OH	2016-06-19	0
OH	2016-06-09	-4
OH	2016-05-08	1
OH	2016-04-27	0
OH	2016-03-06	1
OH	2016-02-20	2
