date	n_dem	n	p
2016-11-08	 0	       0	0.00000000
2016-11-08	 1	       0	0.00000000
2016-11-08	 2	       0	0.00000000
2016-11-08	 3	       0	0.00000000
2016-11-08	 4	       0	0.00000000
2016-11-08	 5	       0	0.00000000
2016-11-08	 6	       1	0.00000001
2016-11-08	 7	     104	0.00000104
2016-11-08	 8	    3612	0.00003612
2016-11-08	 9	   98446	0.00098446
2016-11-08	10	 1439569	0.01439569
2016-11-08	11	 8236943	0.08236943
2016-11-08	12	21504947	0.21504947
2016-11-08	13	29788466	0.29788466
2016-11-08	14	23632052	0.23632052
2016-11-08	15	11232815	0.11232815
2016-11-08	16	 3329502	0.03329502
2016-11-08	17	  642045	0.00642045
2016-11-08	18	   83297	0.00083297
2016-11-08	19	    7666	0.00007666
2016-11-08	20	     512	0.00000512
2016-11-08	21	      23	0.00000023
2016-11-08	22	       0	0.00000000
2016-11-08	23	       0	0.00000000
2016-11-08	24	       0	0.00000000
2016-11-08	25	       0	0.00000000
2016-11-08	26	       0	0.00000000
2016-11-08	27	       0	0.00000000
2016-11-08	28	       0	0.00000000
2016-11-08	29	       0	0.00000000
2016-11-08	30	       0	0.00000000
2016-11-08	31	       0	0.00000000
2016-11-08	32	       0	0.00000000
2016-11-08	33	       0	0.00000000
2016-11-08	34	       0	0.00000000
